HEY BUDDY	▁HE Y ▁BU D D Y
FIND MY PHONE	▁FIND ▁MY ▁PH ONE
OKAY JARVIS	▁OKAY ▁JA R VI S
HELLO WORLD	▁HE LL O ▁WORLD
XYZZY	▁ X Y Z Z Y
WHERE ARE YOU	▁WHERE ▁ARE ▁YOU
MARCO POLO	▁MAR CO ▁PO LO
HEY SIRI	▁HE Y ▁S I RI
LOVE AND PEACE	▁LOVE ▁AND ▁P E A CE
DON'T PANIC	▁DON ' T ▁PA N IC
A	▁A
PHONE PHONE PHONE	▁PH ONE ▁PH ONE ▁PH ONE
ZYCIDPYOPU ZGDPA'M	▁ Z Y CI D P Y O P U ▁ Z G D P A ' M
YYAWOIXZHS KA A AMVGNXAQH	▁ Y Y A W O I X Z H S ▁K A ▁A ▁A M V G N X A Q H
RHLHVHYO AN'RU FU DXKXW	▁ R H L H V H Y O ▁AN ' RU ▁F U ▁ D X K X W
'VGJJSPQM BPHXZMNVFL WYVXLCOVQ YF	▁ ' V G J J S P Q M ▁B PH X Z M N V F L ▁W Y V X L CO V Q ▁ Y F
PXAPBJ SSMUFFQHAY RRHM LSLOIVRTX	▁P X A P B J ▁S S M U FF Q HA Y ▁ R R H M ▁ L S LO IV R T X
Z'XQZEQ	▁ Z ' X Q Z E Q
BPLSRGQ P'LNLAR	▁B P L S R G Q ▁P ' L N L AR
TAZHUFRS CZR B'VCC	▁TA Z H U F R S ▁C Z R ▁B ' V C C
AYYIHIDZ	▁A Y Y I H ID Z
JCFFIQ VIU	▁ J C FF I Q ▁VI U
WKPPDAJM NZGIDI GTN'AHAME	▁W K PP D A J M ▁ N Z G ID I ▁G T N ' A HA ME
OWQ	▁ OW Q
'HUZWQOHQ M ZKVUNBXJEG J	▁ ' H U Z W Q O H Q ▁ M ▁ Z K V UN B X J E G ▁ J
JJ	▁ J J
SIEARBS SOF'	▁S I E AR B S ▁SO F '
GLDGSVN	▁G L D G S V N
DVMJQPAK MJAFGKZSZE	▁ D V M J Q P A K ▁ M J A F G K Z S Z E
GIVD'MR 'VRPYR CXBC	▁G IV D ' M R ▁ ' V R P Y R ▁C X B C
FRG YKTQ'	▁F R G ▁ Y K T Q '
